rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0xb8f94580,456,456,456,456,326,326,326,326,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xf64fc7b9,363,363,363,363,363,363,363,363,111,111,111,111,111,111,111,111,111,111,111,
0xa0e897fe,555,555,555,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,
0x6dcc4b5f,666,666,666,666,666,OUT,OUT,OUT,OUT,OUT,OUT,OUT,111,111,111,111,111,111,111,
0x696d39ac,333,664,664,664,664,OUT,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x721c2675,456,456,456,456,456,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x9d32360a,456,456,456,456,456,216,216,111,111,111,111,111,111,111,111,111,111,111,111,
0x90943e7b,666,666,666,666,666,531,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x484a4498,666,666,666,666,666,352,352,352,352,352,352,352,352,352,352,352,352,352,352,
0xe15b4f1,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,
0xbfc5a8d6,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,
0xcc1e4757,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,
0x66eb1244,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,
0xd63faf2d,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,
0x8a4b7c62,212,212,212,212,212,212,212,212,212,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xf7d601f3,662,662,662,662,662,662,662,662,662,662,123,123,123,123,123,123,123,123,123,
0xefa90eb0,456,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,
0x99951129,463,463,463,463,463,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,111,111,111,111,
0x7e68fcae,544,544,544,544,544,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x6c44ca4f,456,456,456,456,456,OUT,OUT,OUT,OUT,OUT,OUT,123,123,123,123,123,123,123,123,
0x970865dc,456,143,143,143,143,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x81c496e5,444,444,444,444,444,444,154,123,123,123,123,123,123,123,123,123,123,111,111,
0xcc35ba,456,456,456,456,311,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x572dbc6b,444,444,444,444,444,444,316,316,111,111,111,111,111,111,111,111,111,111,111,
0xf3a403c8,444,444,444,266,266,266,266,266,266,266,266,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x6aacbc61,353,353,353,353,353,353,353,353,353,353,353,123,123,123,123,123,123,123,123,
0x60f7f386,632,632,632,632,632,632,632,632,632,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x3569b447,541,541,541,541,541,541,541,541,541,123,123,123,123,123,123,123,123,123,123,
0x68d99474,456,456,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
0x3597bd9d,312,312,312,312,312,312,312,312,312,312,312,312,312,312,111,111,111,111,111,
0x91cfc212,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,
0xe834de3,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,
0x103583e0,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,
0x14379699,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,
0xdee3ed5e,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,
0xce12e53f,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,
0xcd9efe0c,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
0x87620355,521,521,521,521,521,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xaa7d816a,312,312,312,312,312,312,123,123,123,123,123,123,123,123,123,123,123,123,123,
0xd6da965b,456,456,456,456,456,624,624,624,624,624,624,624,624,624,624,624,624,624,624,
